"season","year","South_PCP","mean_cmDay","WTE","Snow_in","MEANC","d.15_S2E","d.15_S2S","d.76_S2E","d.76_S2S","d.137_S2E","d.137_S2S"
"Melt",1974,27.93,0.0177413260869565,422.063804347826,7.5,8.98369565217391,4.42,4.85,3.51,6.25,3.51,5.03
"Snow",1974,22.97,0.00419814364640884,421.981712707182,40.5,-7.53591160220994,2.84,3.25,3.35,5.64,2.13,3.81
"Growing",1975,24.73,0.00380164130434783,421.998369565217,0.5,16.1684782608696,0.79,1.07,1.22,2.59,1.68,3.2
"Melt",1975,27.55,0.0204173086419753,422.049259259259,0,12.0740740740741,4.93,2.59,3.96,6.4,3.96,4.72
"Snow",1975,35.68,0.00158079166666667,421.9896875,89.1,-6.14583333333333,2.57,2.01,2.13,3.81,1.52,3.05
"Growing",1976,10.48,6.45591397849462e-05,421.781075268817,0,16.989247311828,1.575,1.42,0.835,1.98,1.525,3.05
"Melt",1976,16.67,0.00519159433962264,421.963867924528,0.6,10.2405660377358,3.38,2.92,3.66,5.18,3.66,4.88
"Snow",1976,23.07,0.000680353293413174,421.975868263473,51,-6.73353293413174,0.15,0.13,0.15,1.07,1.07,2.44
"Growing",1979,32.17,0.0143036413043478,421.976630434783,0,15.8369565217391,0.33,0.64,1.98,2.29,3.05,3.81
"Melt",1979,20.02,0.0141770108695652,422,1.5,8.44021739130435,3.99,4.42,3.81,6.1,3.96,5.18
"Snow",1979,24.5,9.98618784530387e-05,421.902596685083,69.7,-8.82044198895028,3.3,3.35,3.05,5.49,2.29,4.57
"Growing",1981,29.97,0.00375327472527473,421.985604395604,0,16.2802197802198,0.81,1.24,3.66,5.03,3.35,4.72
"Melt",1981,31.75,0.00876374380165289,421.993223140496,1.9,7.95454545454545,7.025,7.085,3.58,5.64,3.505,4.95
"Snow",1981,13.05,0.000825555555555556,421.918235294118,21.7,-6.40522875816993,3.38,3.02,3.51,6.1,3.66,4.88
"Growing",1984,21.4,0.000382344086021505,421.964731182796,0,16.2365591397849,1.27,1.09,1.52,2.9,1.98,3.2
"Melt",1984,32.63,0.0116786475409836,422.02,7.3,6.50409836065574,4.37,4.72,3.96,7.16,4.27,5.33
"Snow",1984,21.81,0.00175413245033113,421.97761589404,49,-7.68211920529801,2.29,3.23,3.35,6.4,2.59,4.88
"Growing",1985,29.26,0.00270638461538462,421.992307692308,0,14.956043956044,1.65,2.16,2.44,3.81,2.44,4.11
"Melt",1985,43.97,0.020220219047619,422.029142857143,1.5,10.1714285714286,3.51,4.32,3.81,6.71,3.96,5.03
"Snow",1985,29.57,0.00236396449704142,421.921834319527,38.5,-7.01183431952663,2.64,3.76,3.2,6.25,2.44,4.72
"Growing",1986,32.65,0.00464511956521739,422.006739130435,0,15.3152173913043,3.71,4.01,1.98,3.51,2.29,3.51
"Melt",1986,28.56,0.0109345510204082,422.022653061225,0,11.3928571428571,4.47,3.86,3.81,7.01,4.11,5.18
"Snow",1986,19.55,0.000907234285714286,421.955885714286,58.2,-8.06285714285714,3.63,4.29,2.74,5.94,1.83,4.27
"Growing",1987,46.32,0.0124058369565217,421.997826086957,0,17.0326086956522,3.23,3.07,1.98,3.51,1.98,3.05
"Melt",1987,19.91,0.00533142735042735,421.986923076923,2.1,10.3034188034188,3.63,3.28,3.2,5.94,3.05,4.72
"Snow",1987,14.56,0.000967294871794872,421.985961538462,31.1,-4.59615384615385,2.64,2.54,2.13,3.66,1.83,3.05
"Growing",1990,13.37,1.86847826086957e-05,421.805217391304,0,16.7989130434783,0.79,1.63,0.91,4.17,1.5,2.31
"Melt",1990,15.51,0.00553665079365079,421.986825396825,0.9,13.7142857142857,3.66,3.86,3.68,7.34,2.26,4.55
"Snow",1990,23.05,0.00149345238095238,421.920476190476,49.5,-5.15238095238095,2.49,2.92,1.78,6.3,1.5,2.46
"Growing",1991,22.56,0.000906630434782609,421.893695652174,0,16.804347826087,2.24,2.31,0.94,4.22,1.55,2.46
"Melt",1991,22.01,0.00626353246753247,421.951428571429,0.9,15.0194805194805,3.15,5.13,3.25,6.96,1.98,4.44
"Snow",1991,27.91,0.000851494897959184,421.839030612245,45.6,-5.06377551020408,2.92,3.76,1.32,4.29,1.47,2.29
"Growing",1992,35.36,0.00950150537634408,421.996021505376,0,13.9139784946237,3.3,3.78,3.38,7.04,1.98,4.37
"Melt",1992,29.13,0.0133614285714286,421.975428571429,2.2,12.4857142857143,2.26,2.79,3.1,6.88,1.93,4.32
"Snow",1992,24.96,0.00141004926108374,421.922068965517,45.6,-4.85221674876847,3.56,3.76,3.02,6.88,1.96,4.47
"Growing",1993,35.49,0.00900289010989011,421.995604395604,0,14.8791208791209,3.84,3.28,2.31,6.3,1.85,3.61
"Melt",1993,23.47,0.00836986419753086,421.983333333333,1.2,10.6111111111111,2.97,4.62,3.61,6.88,1.96,4.44
"Snow",1993,16.86,0.000879621761658031,421.905129533679,56.2,-6.36010362694301,3.58,2.9,2.29,6.27,1.96,3.53
"Growing",1994,28.51,0.00466513043478261,421.98902173913,0,16.0869565217391,3.07,2.95,3.2,6.55,1.85,3.53
"Melt",1994,30.93,0.0147695230769231,422.009846153846,7,14.0846153846154,3.33,3.78,3.48,7.14,1.98,4.39
"Snow",1994,24.7,0.00253487019230769,421.946105769231,66.3,-6.98076923076923,7.04,7.67,3.51,7.04,1.93,4.52
"Growing",1995,44.86,0.00702079347826087,421.974782608696,0,16.3260869565217,2.31,1.55,1.73,5.13,1.83,3
"Melt",1995,12.5,0.0050233417721519,421.974303797468,0.5,12.7911392405063,3.3,4.14,3.76,7.37,2.11,4.55
"Snow",1995,24.59,0.00176315463917526,421.960309278351,47.2,-4.77835051546392,4.27,3.45,3.38,7.11,2.03,4.52
"Growing",1996,27.02,0.00333789247311828,421.965053763441,0,16.3924731182796,1.85,1.24,1.19,4.37,1.65,2.62
"Melt",1996,19.6,0.0174582328767123,422.008082191781,1.3,11.6301369863014,4.01,3.48,3.66,7.19,2.08,4.6
"Snow",1996,32.59,0.00346742,421.9613,89.1,-8.69,2.95,4.09,2.92,7.04,1.78,4.32
"Growing",1997,28.69,0.00430667032967033,421.975934065934,0,16.4945054945055,3.3,3.56,1.27,4.47,2.03,2.49
"Melt",1997,23,0.0117390602409639,422.000843373494,0.3,11.289156626506,3.94,4.29,3.71,7.26,2.13,4.85
"Snow",1997,39.18,0.00404528795811518,421.970680628272,91.2,-7.26178010471204,3.15,3.43,3.1,6.81,1.55,4.22
"Growing",1998,22.79,0.000813347826086957,421.929130434783,0,17.6847826086957,1.8,2.54,1.4,3.84,1.7,2.24
"Melt",1998,24.86,0.0062746043956044,421.985824175824,0,12.6263736263736,4.24,4.22,3.33,6.88,1.8,4.44
"Snow",1998,21.4,0.00142652197802198,421.962362637363,36.5,-3.20879120879121,4.06,3.96,3.3,6.96,1.65,4.17
"Growing",1999,49.72,0.0183330652173913,422.000326086957,0,16.6739130434783,4.5,3.66,3.05,6.83,1.85,4.24
"Melt",1999,21.76,0.00585298780487805,421.975853658537,0.4,12.9756097560976,3.66,4.65,3.33,6.98,2.01,4.52
"Snow",1999,35.86,0.00534626178010471,421.948429319372,54.2,-3.94502617801047,3.78,4.14,3.15,6.81,1.96,4.39
"Growing",2000,21.43,0.000848483870967742,421.950752688172,0,16.2043010752688,0.81,1.07,1.17,4.17,1.5,2.62
"Melt",2000,20.06,0.00586830379746835,421.973164556962,0.5,11.7974683544304,4.09,5.11,3.4,7.06,1.83,4.7
"Snow",2000,15.48,0.000911778350515464,421.918144329897,22.9,-3.36082474226804,3.96,5.61,3.17,6.68,1.65,4.22
"Growing",2001,18.26,0,421.871648351648,0,17.5769230769231,1.8,2.01,1.22,4.24,1.57,2.57
"Melt",2001,27.19,0.0198778571428571,422.000285714286,0.2,14.2,4.52,4.57,3.61,7.06,1.83,4.83
"Snow",2001,39.45,0.00642577450980392,421.92,73.7,-5.94117647058824,4.19,3.58,3.07,7.14,1.47,4.17
"Growing",2002,25.16,0.00236529347826087,421.951956521739,0,17.7880434782609,0.64,1.14,1.35,4.83,1.73,3
"Melt",2002,32.7,0.0264877230769231,421.973846153846,0.2,12.8461538461538,4.22,4.6,3.33,6.98,1.73,4.6
