"DATE","LOCATION","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
1968-05-01,"S4W",5.16,5.64,6.71,4.88,5.33,4.88,4.42,4.42,NA,NA,NA
1968-05-01,"S5",3.15,2.9,3.51,3.81,3.66,2.9,2.44,4.27,NA,NA,NA
1968-05-01,"S6N",3.66,5.03,4.72,3.66,3.05,3.66,3.05,3.05,NA,NA,NA
1968-09-12,"S1N",1.83,4.75,2.44,2.44,1.83,2.29,2.29,2.74,2.9,3.2,2.59
1968-09-12,"S1S",1.52,3.05,2.44,2.13,1.37,1.83,1.98,1.37,1.98,6.86,10.52
1968-09-12,"S2E",1.42,1.52,1.68,2.44,1.83,1.83,1.68,1.68,NA,NA,NA
1968-09-12,"S2W",3.1,3.2,1.68,2.9,2.44,2.9,2.9,3.35,3.05,2.74,1.83
1968-09-12,"S2S",1.85,3.96,4.11,4.42,3.66,3.81,4.27,3.96,2.29,1.07,1.37
1968-09-12,"S3E",1.91,1.68,0.91,0.46,1.07,1.98,2.29,1.22,1.22,0.15,NA
1968-09-12,"S3W",1.17,1.98,1.68,1.98,3.51,2.74,3.2,2.59,2.13,3.81,3.96
1968-09-13,"S4S",1.42,2.44,2.13,2.59,2.44,3.05,2.29,2.44,2.9,2.44,NA
1968-09-13,"S4E",3.07,4.27,4.88,3.96,3.2,3.05,3.35,2.74,2.59,NA,NA
1968-09-13,"S4W",2.34,2.29,5.03,3.51,3.81,3.51,3.51,3.51,NA,NA,NA
1968-09-13,"S5",1.42,2.29,2.13,2.9,2.74,2.44,2.44,3.96,NA,NA,NA
1968-09-12,"S6N",1.52,2.9,3.96,2.44,1.83,1.83,1.83,1.83,NA,NA,NA
1968-09-12,"S1N",3.94,6.73,4.42,4.27,3.66,2.9,2.9,2.9,3.05,3.66,3.35
1968-09-12,"S1S",3.17,6.25,3.96,3.96,3.2,3.05,1.98,1.37,3.2,9.75,10.36
1968-09-12,"S2E",4.7,7.01,3.66,3.51,3.05,3.66,2.9,2.9,NA,NA,NA
1968-09-12,"S2W",3.35,3.66,1.98,3.05,2.44,2.59,3.2,3.2,3.05,3.2,2.13
1968-09-12,"S2S",3.66,5.64,5.79,5.49,5.18,4.42,4.88,5.18,4.72,2.9,2.9
1968-09-12,"S3E",2.03,2.9,1.98,2.74,3.66,3.05,3.05,1.07,1.07,NA,0.15
1968-09-12,"S3W",2.64,1.98,1.52,2.44,4.88,3.96,3.81,3.81,2.44,5.64,6.4
1968-10-30,"S4S",1.98,2.9,2.44,3.35,3.81,5.03,3.96,3.96,3.2,2.74,NA
1968-10-30,"S4E",4.14,6.4,5.94,5.18,4.27,5.03,4.72,4.11,4.27,NA,NA
1968-10-30,"S4W",4.37,5.03,5.79,4.57,4.42,4.27,4.27,4.27,NA,NA,NA
1968-10-30,"S5",1.65,2.74,2.9,3.35,3.35,2.9,2.74,4.27,NA,NA,NA
1968-10-29,"S6N",2.77,4.88,4.72,3.51,3.05,3.66,2.9,2.9,NA,NA,NA
1969-03-10,"S1N",4.83,6.27,4.42,4.42,3.66,2.44,2.13,2.59,2.59,2.9,3.05
1969-03-10,"S1S",3.02,5.79,3.81,2.9,1.83,2.59,2.59,1.52,2.13,5.94,10.21
1969-03-10,"S2E",4.65,5.64,3.35,3.66,3.35,3.81,2.59,2.59,NA,NA,NA
1969-03-10,"S2W",4.65,3.66,1.83,2.74,2.13,2.29,3.05,2.9,2.74,2.44,1.37
1969-03-12,"S2S",5.28,5.64,5.49,5.79,5.18,4.42,4.88,5.33,4.88,2.29,1.98
1969-03-12,"S3E",5.05,3.51,1.37,1.68,3.05,3.51,3.35,1.83,1.07,NA,0.3
1969-03-12,"S3W",2.36,1.83,1.07,1.22,3.2,3.2,3.66,3.2,2.13,4.27,5.33
1969-03-11,"S4E",5.49,6.1,6.1,5.18,4.42,4.57,4.42,3.81,3.96,NA,NA
1969-03-11,"S4W",5.49,4.27,6.1,4.57,4.27,4.11,3.66,3.66,NA,NA,NA
1969-03-11,"S4S",4.14,2.9,1.83,2.13,2.13,3.35,2.74,2.44,2.59,2.44,NA
1969-03-11,"S5",4.52,2.9,2.13,3.35,3.35,2.9,2.9,4.42,NA,NA,NA
1969-03-12,"S6N",4.22,4.57,4.88,3.51,2.9,3.05,2.44,2.44,NA,NA,NA
1969-04-29,"S1N",3.73,7.04,4.88,4.88,3.96,3.96,3.81,4.27,4.57,5.33,6.1
1969-04-29,"S1S",3.51,6.86,4.11,4.11,3.96,5.33,4.27,5.33,10.21,10.06,10.67
1969-04-30,"S2E",5.44,7.62,3.81,4.11,3.81,3.96,3.35,NA,NA,NA,NA
1969-04-30,"S2W",3.61,2.9,1.68,3.05,2.59,2.74,3.35,3.35,3.05,3.51,2.59
1969-04-30,"S2S",4.93,5.94,5.94,5.79,5.18,4.57,5.18,5.49,4.88,2.9,2.9
1969-04-29,"S3E",2.62,3.2,2.13,3.2,3.81,3.81,5.49,3.51,3.96,1.37,0.91
1969-04-29,"S3W",1.98,2.13,1.83,3.05,5.18,4.57,5.49,5.18,3.96,6.86,7.47
1969-05-02,"S4E",8.81,7.77,5.94,5.49,5.03,5.64,5.18,4.27,4.57,NA,NA
1969-05-02,"S4W",6.3,6.25,6.71,5.03,5.18,4.57,4.27,NA,NA,NA,NA
1969-05-02,"S4S",3.56,3.96,2.44,3.51,5.49,5.49,4.42,3.96,3.51,2.9,NA
1969-05-02,"S5",2.97,3.35,2.9,3.66,3.66,3.05,3.05,4.72,NA,NA,NA
1969-04-29,"S6N",2.57,5.64,5.18,3.96,3.66,4.11,4.11,4.11,NA,NA,NA
1969-09-08,"S1N",2.72,3.84,2.44,2.29,1.37,2.13,2.29,2.9,3.35,3.81,3.81
1969-09-08,"S1S",2.08,2.9,2.13,2.44,0.91,1.37,1.37,0.91,0.61,6.68,10.67
1969-09-08,"S2E",2.34,2.29,1.07,1.98,1.37,1.37,1.37,1.37,NA,NA,NA
1969-09-08,"S2W",4.44,2.29,1.22,2.9,2.44,2.9,3.35,3.2,3.05,2.44,1.68
1969-09-09,"S2S",2.74,3.35,2.44,3.66,3.05,3.35,3.66,2.29,1.68,NA,NA
1969-09-09,"S3E",1.85,1.22,0.76,0.61,0.61,1.83,2.59,1.83,1.83,0.76,0.76
1969-09-09,"S3W",2.59,2.29,1.83,1.37,2.9,2.29,3.35,2.74,2.29,3.51,3.2
1969-09-10,"S4E",3.17,4.57,4.44,3.2,2.74,2.44,2.9,2.44,2.59,NA,NA
1969-09-10,"S4W",3.96,3.2,4.42,2.9,2.9,3.05,3.05,3.05,NA,NA,NA
1969-09-10,"S4S",1.6,3.2,2.29,1.52,1.37,1.68,2.13,2.9,3.2,2.74,NA
1969-09-10,"S5",2.57,2.59,2.29,2.74,2.59,2.29,2.59,3.51,NA,NA,NA
1969-09-09,"S6N",3.43,2.44,3.61,2.29,1.68,1.52,1.52,1.52,NA,NA,NA
1969-11-04,"S1N",2.84,6.58,4.27,3.35,1.98,1.98,1.98,2.64,2.9,3.2,3.2
1969-11-04,"S1S",4.44,7.01,7.32,1.07,0.91,1.22,1.37,0.76,1.22,6.4,9.6
1969-11-04,"S2E",4.04,5.03,2.59,2.29,1.37,1.37,1.37,1.37,NA,NA,NA
1969-11-04,"S2W",4.42,4.11,2.44,3.35,2.59,2.74,3.51,3.35,3.2,2.74,1.68
1969-11-04,"S2S",4.19,6.71,6.55,7.92,7.26,6.65,3.96,4.88,1.68,NA,NA
1969-11-04,"S3E",2.26,3.05,1.98,1.22,2.44,2.13,2.13,1.22,1.22,0.46,0.46
1969-11-04,"S3W",2.21,2.59,2.29,2.59,4.72,2.74,3.66,2.9,1.98,3.2,3.2
1969-11-03,"S4E",5.92,7.47,6.25,5.64,4.57,3.96,4.27,3.66,3.96,NA,NA
1969-11-03,"S4W",4.42,4.88,5.94,4.27,4.27,3.96,3.66,3.66,NA,NA,NA
1969-11-03,"S4S",3.89,3.66,2.9,3.66,3.2,3.81,2.13,3.66,2.44,2.44,NA
1969-11-03,"S5",3.15,3.35,3.66,3.66,3.66,2.59,2.59,4.42,NA,NA,NA
1969-11-03,"S6N",3.81,5.18,5.03,3.35,2.13,1.83,1.83,1.83,NA,NA,NA
1970-03-06,"S1S",5.21,6.55,3.51,2.74,0.91,1.22,1.37,0.76,1.37,5.49,10.36
1970-03-06,"S2E",4.01,5.79,2.59,2.59,2.13,1.98,1.22,1.22,NA,NA,NA
1970-03-06,"S2W",3.99,4.42,1.37,2.9,2.29,2.44,3.05,3.05,2.74,2.44,1.37
1970-03-06,"S2S",4.52,8.08,4.27,5.33,4.27,3.51,4.11,4.42,3.35,NA,NA
