"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"49",1979,"S2S","Growing",0.64,0.3,2.29,4.57,3.81,3.35,3.81,3.35,1.37,0.91,0.76
"50",1979,"S2S","Melt",4.42,7.16,6.1,5.64,5.18,4.72,5.18,5.49,4.57,3.35,2.9
"51",1979,"S2S","Snow",3.35,6.1,5.49,4.88,4.57,3.81,4.42,4.57,3.2,1.37,0.46
"52",1981,"S2E","Growing",0.81,4.88,3.66,3.66,3.35,2.9,2.44,2.44,NA,NA,NA
"53",1981,"S2E","Melt",7.025,8.46,3.58,3.89,3.505,3.125,2.515,2.515,NA,NA,NA
"54",1981,"S2E","Snow",3.38,7.16,3.51,3.66,3.66,3.2,2.59,2.59,NA,NA,NA
"55",1981,"S2S","Growing",1.24,3.81,5.03,5.64,4.72,4.11,4.57,4.11,2.29,1.52,1.52
"56",1981,"S2S","Melt",7.085,7.085,5.64,5.41,4.95,4.575,4.95,5.335,3.66,2.59,2.21
"57",1981,"S2S","Snow",3.02,5.79,6.1,5.18,4.88,4.42,4.88,5.18,3.35,2.59,2.29
"58",1984,"S2E","Growing",1.27,0.91,1.52,2.29,1.98,1.98,2.29,2.29,NA,NA,NA
"59",1984,"S2E","Melt",4.37,8.84,3.96,4.27,4.27,4.11,3.35,3.35,NA,NA,NA
"60",1984,"S2E","Snow",2.29,7.16,3.35,3.66,2.59,2.29,2.59,2.59,NA,NA,NA
"61",1984,"S2S","Growing",1.09,0.3,2.9,4.11,3.2,2.74,3.05,3.05,0.91,0.61,0.46
"62",1984,"S2S","Melt",4.72,7.77,7.16,5.79,5.33,4.88,5.64,5.79,5.03,4.57,3.66
"63",1984,"S2S","Snow",3.23,5.94,6.4,5.33,4.88,4.22,4.83,5.18,3.2,2.59,2.44
"64",1985,"S2E","Growing",1.65,3.35,2.44,3.05,2.44,2.59,2.44,2.44,NA,NA,NA
"65",1985,"S2E","Melt",3.51,9.14,3.81,4.11,3.96,3.35,3.2,3.2,NA,NA,NA
"66",1985,"S2E","Snow",2.64,6.25,3.2,3.05,2.44,2.59,2.44,2.44,NA,NA,NA
"67",1985,"S2S","Growing",2.16,1.68,3.81,4.27,4.11,3.51,3.81,3.66,1.37,1.22,1.22
"68",1985,"S2S","Melt",4.32,7.16,6.71,5.49,5.03,4.57,5.33,5.49,4.11,3.66,3.05
"69",1985,"S2S","Snow",3.76,5.64,6.25,5.33,4.72,3.96,4.42,4.27,1.68,1.37,1.37
"70",1986,"S2E","Growing",3.71,5.18,1.98,2.59,2.29,2.29,2.29,2.29,NA,NA,NA
"71",1986,"S2E","Melt",4.47,8.84,3.81,4.11,4.11,3.96,3.81,3.81,NA,NA,NA
"72",1986,"S2E","Snow",3.63,6.71,2.74,2.59,1.83,1.98,1.83,1.83,NA,NA,NA
"73",1986,"S2S","Growing",4.01,4.11,3.51,3.96,3.51,3.05,3.35,3.2,1.07,0.91,0.61
"74",1986,"S2S","Melt",3.86,6.55,7.01,5.79,5.18,4.72,5.18,5.49,4.42,3.81,3.35
"75",1986,"S2S","Snow",4.29,5.64,5.94,4.88,4.27,3.81,4.27,4.72,2.59,2.59,1.22
