"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"233",2016,"S2E","Melt",3.3,5.94,3,2.92,3,3.17,3.17,3.17,NA,NA,NA
"234",2016,"S2E","Snow",3.25,5.92,3,2.9,3.02,3.05,3.07,3.07,NA,NA,NA
"235",2016,"S2S","Growing",4.11,5.94,3.53,5.18,4.47,4.39,4.78,4.93,6.38,2.46,NA
"236",2016,"S2S","Melt",5.59,6.15,3.84,5.21,4.55,4.37,4.98,4.27,1.32,2.84,NA
"237",2016,"S2S","Snow",5.64,6.15,4.22,5.51,4.72,4.37,4.9,4.9,6.86,3,NA
"238",2017,"S2E","Growing",2.82,3.33,0.2,1.02,1.85,1.88,2.46,2.46,NA,NA,NA
"239",2017,"S2E","Melt",4.37,6.38,3.1,3.4,3.51,3.56,3.35,3.35,NA,NA,NA
"240",2017,"S2E","Snow",3.2,4.42,2.03,1.73,2.08,2.03,2.03,2.03,NA,NA,NA
"241",2017,"S2S","Growing",3.51,3.66,0.64,3.25,2.72,3.05,3.3,3,4.32,1.37,NA
"242",2017,"S2S","Melt",4.24,6.53,4.24,5.64,4.57,4.67,5.05,5.36,7.16,3.4,NA
"243",2017,"S2S","Snow",4.24,5.49,4.06,4.9,3.61,3.23,3.48,3,5.38,1.24,NA
"244",2018,"S2E","Growing",1.93,1.12,0,0.76,1.27,0,0,0,NA,NA,NA
"245",2018,"S2E","Melt",4.37,6.05,2.77,2.79,2.92,2.9,3.05,3.05,NA,NA,NA
"246",2018,"S2E","Snow",6.3,5.64,2.79,2.64,2.03,1.96,1.5,1.5,NA,NA,NA
"247",2018,"S2S","Growing",2.29,1.12,0.33,2.77,2.77,3.05,3.45,3.56,5.05,1.63,NA
"248",2018,"S2S","Melt",4.67,6.4,4.27,5.23,4.52,4.44,4.67,4.98,6.65,3.02,NA
"249",2018,"S2S","Snow",5.94,5.77,4.29,5.16,4.44,4.37,4.6,4.78,6.58,2.72,NA
"250",2019,"S2E","Growing",3.89,4.57,2.29,2.24,2.39,NA,NA,NA,NA,NA,NA
"251",2019,"S2E","Melt",5.03,8.41,3.76,3.53,3.38,NA,NA,NA,NA,NA,NA
"252",2019,"S2E","Snow",5.44,5.79,2.79,2.74,2.59,NA,NA,NA,NA,NA,NA
"253",2019,"S2S","Growing",5.28,5.33,3.45,4.83,3.15,3.45,3.86,4.01,5.49,1.73,NA
"254",2019,"S2S","Melt",5.94,7.59,5.97,5.94,5.36,4.9,5.18,5.46,7.57,4.88,NA
"255",2019,"S2S","Snow",5.46,5.77,3.66,5.23,4.44,4.11,4.47,4.83,6.22,2.84,NA
